type,value
GRADUADO,4.238888889
GRADUADO,3.932835821
GRADUADO,4.350943396
GRADUADO,4.43030303
GRADUADO,4.16440678
GRADUADO,4.110909091
GRADUADO,4.471698113
GRADUADO,4.144444444
GRADUADO,4.354385965
GRADUADO,3.93220339
GRADUADO,3.83968254
GRADUADO,4.288888889
GRADUADO,4.494339623
GRADUADO,4.304918033
GRADUADO,4.13559322
GRADUADO,4.149152542
GRADUADO,4.230909091
GRADUADO,3.758823529
GRADUADO,3.546052632
GRADUADO,4.035820896
GRADUADO,4.546428571
GRADUADO,4.001666667
GRADUADO,4.596226415
GRADUADO,4.031578947
GRADUADO,3.99516129
GRADUADO,3.973333333
GRADUADO,4.034545455
GRADUADO,4.079310345
GRADUADO,4.06779661
GRADUADO,4.309259259
GRADUADO,4.175
GRADUADO,4.278947368
GRADUADO,3.97704918
GRADUADO,4.124561404
GRADUADO,4.225
GRADUADO,4.076666667
GRADUADO,4.298214286
GRADUADO,4.167857143
GRADUADO,4.392424242
GRADUADO,4.392982456
GRADUADO,4.430188679
GRADUADO,3.968604651
GRADUADO,3.76779661
GRADUADO,4.148214286
GRADUADO,4.12
GRADUADO,4.316666667
GRADUADO,3.942857143
GRADUADO,4.053571429
GRADUADO,4.115254237
GRADUADO,4.330909091
GRADUADO,4.129090909
GRADUADO,3.517567568
GRADUADO,4.305454545
GRADUADO,3.956164384
GRADUADO,3.901754386
GRADUADO,3.940298507
GRADUADO,4.062121212
GRADUADO,4.383928571
GRADUADO,4.09137931
GRADUADO,4.371929825
GRADUADO,4.092727273
GRADUADO,4.479245283
GRADUADO,4.218965517
GRADUADO,4.104918033
GRADUADO,4.371428571
GRADUADO,4.354545455
GRADUADO,4.615789474
GRADUADO,4.258181818
GRADUADO,3.723611111
GRADUADO,4.713207547
GRADUADO,4.626415094
GRADUADO,4.315151515
GRADUADO,4.454545455
GRADUADO,4.021212121
GRADUADO,4.196969697
GRADUADO,4.113636364
GRADUADO,4.159649123
GRADUADO,4.370175439
GRADUADO,4.26
GRADUADO,4.330357143
GRADUADO,4.424561404
GRADUADO,4.249122807
GRADUADO,4.289393939
GRADUADO,4.103636364
GRADUADO,4.01641791
GRADUADO,4.296721311
GRADUADO,4.288571429
GRADUADO,4.157142857
GRADUADO,4.37
